Marca temporal,Nombre en español,Nombre científico,Nativo de,Tipo de material vegetal,Cantidad de luz,Agua requerida,Agua requerida mensual (en litros),Radio máximo (en metros),Altura máxima (en metros),Clima óptimo,Para cada categoría señale una opción entre poco/medio/mucho [Aporte de color],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de abejas],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de mariposas],Para cada categoría señale una opción entre poco/medio/mucho [Atracción de colibríes],Para cada categoría señale una opción entre poco/medio/mucho [Aporte aromático],Para cada categoría señale una opción entre poco/medio/mucho [Nivel de cuidado],Caduco / Perenne,Para cada evento eliga la época correspondiente [Siembra],Para cada evento eliga la época correspondiente [Floración],Para cada evento eliga la época correspondiente [Poda],Descripción,Nombre(s) de especie(s) con la cual se viene bien,Hardiness Zone,Ranking_agua,Ranking_color,Ranking_polinizadores,Ranking_aves,Ranking_aromas
2/6/2023 0:14:30,Campanilla azul,Convolvulus sabatius,Europa del Sur,"Arbusto, Cubresuelo, Floral",Mucha,Media,,0.2,0.2,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"El Convolvulus sabatius* es una vivaz de base leñosa, cuyos tallos volubles le permiten trepar o extenderse como una alfombra de 15 a 25 centímetros de altura salpicada de pequeñas campanillas de color azul alilado. Es ideal para darle un aire silvestre y espontáneo a las plantaciones de jardinería sostenible, pero también para cultivar sobre un muro o en tiestos y cestas colgantes que permitan el lucimiento de su efecto cascada.",,Zona 8A,41,9,16,49,27
2/6/2023 0:19:50,Nepeta,Nepeta mussini,Europa del Sur,"Arbusto, Cubresuelo, Floral",Mucha,Poca,,0.2,0.3,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Mucho,Poco,Caduco (bota hojas),Primavera,Verano,Invierno,"Masas de espigas de color azul, violeta o lila caracterizan la floración de las nepetas, un género de vivaces que forman matas que pueden alcanzar entre 20 y 60 centímetros de altura, e incluso más en algunas variedades. Son aptas para la jardinería sostenible, ya que soportan la sequedad y pueden vivir sin dificultad en suelos áridos.",,Zona 8A,13,10,8,29,6
2/6/2023 0:27:56,Margarita cimarrona,Erigeron karvinskianus,América Central (incluye México),"Arbusto, Cubresuelo, Floral",Mucha,Media,,0.1,0.2,Templado subhúmedo,Mucho,Mucho,Mucho,Poco,Medio,Poco,Caduco (bota hojas),Primavera,Verano,Invierno,"La Margarita cimarrona es una planta vivaz florida de porte rastrero, muy extensa y de crecimiento rápido. Es muy utilizada en rocallas, macizos y jardineras, además de ser muy útil como tapizante de arbustos o árboles pequeños. Tomada en té tiene propiedades para aliviar la gastroenteritis, diarrea y el dolor corporal.",,Zona 7B,52,39,13,100,41
2/6/2023 0:37:49,Romero,Salvia rosmarinus,Europa del Sur,"Arbusto, Cubresuelo, Floral",Mucha,Poca,,0.2,0.5,Templado mediterráneo,Medio,Mucho,Mucho,Medio,Mucho,Medio,Perenne (no bota hojas),Primavera,Verano,Primavera,"El romero es una planta que pertenece a la familia de las labiadas y que puede llegar a medir hasta un metro de altura en condiciones ideales. Es un arbusto resistente con tallos ramificados y hojas pequeñas, duras, fina y alargada como agujas (acicular) que dan mucho aroma, siendo éste uno de los motivos por el cual es muy conocido.",,Zona 8A,7,66,5,38,3
2/6/2023 0:53:26,Salvia rusa,Perovskia atriplicifolia,Asia Oriental,"Arbusto, Floral",Media,Poca,,1,1.2,Templado mediterráneo,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"La perovskia es una linda planta perenne, de muy fácil cuidado. Debes ponerla a pleno sol y es resistente a heladas. Es de bajo consumo hídrico y muy atractiva por su coloración lila y su suave movimiento. Tiene una larga floración que abarca desde la primavera hasta comienzos del otoño. No es exigente con los suelos pero si con le buen drenaje.",,Zona 8B,20,40,11,14,10
3/6/2023 13:30:01,Bugambilia,Bougainvillea spectabilis,América del Sur,"Arbusto, Floral",Mucha,Poca,,2,10,Templado mediterráneo,Mucho,Medio,Medio,Poco,Medio,Poco,Perenne (no bota hojas),No aplica,Primavera,Invierno,"Es un arbusto perenne, espinoso, ramoso, de crecimiento rápido, puede alcanzar 10 m; no trepa, se apoya. Es caducifolia en regiones templadas, y perennifolia en zonas tropicales. Florece en primavera, verano, hasta el otoño. Son de variados colores: blanco, rosa, carmín, morado, amarillo, beige, entre otros.",,Zona 10A,25,1,44,66,22
15/6/2023 21:32:23,Magnolio,Magnolia liliiflora Nigra,Asia Oriental,"Árbol, Arbusto, Floral",Media,Media,,3,3,Templado húmedo,Medio,Poco,Poco,Medio,Mucho,Medio,Caduco (bota hojas),Primavera,Primavera,No aplica,Las magnolia liliiflora 'Nigra' son un amplio género de árboles y arbustos muy populares por la belleza de sus flores perfumadas de variados colores. Muchas de sus especies son cultivadas como ornamentales y su vistosidad explota terminando el invierno e iniciando la primavera en su temporada de floración.,,Zona 5B,71,61,72,26,21
15/6/2023 21:48:26,Lila,Syringa microphylla Superba,Asia Oriental,"Arbusto, Floral",Mucha,Media,,2,2,Templado subhúmedo,Mucho,Mucho,Poco,Poco,Mucho,Poco,Caduco (bota hojas),Verano,Primavera,Invierno,"Las syringa pubescens subsp. microphylla son arbustos resistentes y fáciles de cultivar en climas fríos y suelos bien drenados. Su atractivo principal son sus hermosas flores de variados colores y dulce aroma. Florecen durante la primavera, aunque algunas variedades pueden repetir su floración durante el verano y el otoño manteniendo la belleza en los jardines por largos periodos de tiempo.",,Zona 4A,40,44,42,68,15
17/6/2023 13:50:44,Acer japónico,Acer palmatum,Asia Oriental,Árbol,Media,Mucha,,5,6,Templado subhúmedo,Mucho,Poco,Poco,Poco,Poco,Medio,Caduco (bota hojas),Primavera,No aplica,Invierno,"El Acer palmatum, nombre botánico del Acer japonés, es uno de los árboles más demandados por los amantes de la jardinería. Y es que, además de su increíble presencia, los cuidados del arce japonés son sumamente sencillos. Dos factores que, unidos a su característica rusticidad, hacen de él uno de los favoritos tanto para diseñar un jardín como para cultivar en maceta.",,Zona 7A,98,2,98,85,98
17/6/2023 13:57:32,Crespón,Lagerstroemia indica,Asia Oriental,"Árbol, Floral",Mucha,Media,,3,5,Templado mediterráneo,Mucho,Medio,Medio,Medio,Poco,Medio,Caduco (bota hojas),Primavera,Verano,Invierno,"El Lagerstroemia indica es comúnmente conocido como Árbol de Júpiter o Crespón. Ornamentalmente, es un árbol precioso. Con su exuberante floración en primavera o en otoños, con sus tintes anaranjados. Es un árbol caduco, por lo que en invierno bota sus hojas. Altura habitual de 2 a 8 m, llegando incluso hasta los 15 m, aunque tarda muchos años en tener esta magnitud significativa. Tiene el tronco retorcido y la copa redondeada.",,Zona 8A,74,52,60,40,74
17/6/2023 14:05:11,Quillay,Quillaja saponaria,América del Sur,"Árbol, Floral",Mucha,Poca,,5,10,Templado mediterráneo,Poco,Mucho,Medio,Medio,Poco,Poco,Perenne (no bota hojas),Primavera,Verano,No aplica,"El quillay (Quillaja saponaria Molina) es uno de los árboles característicos de la región mediterránea de Chile, especialmente del bosque esclerófilo. Es capaz de crecer en suelos pobres, soportar altas fluctuaciones térmicas y la sequía. Por estas razones, su rápido crecimiento y capacidad de generar sombra, también es posible verlo dentro del arbolado urbano o en reforestaciones con árboles nativos.",,Zona 8A,3,86,19,27,75
17/6/2023 14:11:07,Jacarandá,Jacaranda mimosifolia,América del Sur,"Árbol, Floral",Mucha,Poca,,5,10,Templado subhúmedo,Mucho,Medio,Medio,Medio,Poco,Poco,Caduco (bota hojas),Primavera,Primavera,Invierno,"La Jacaranda mimosifolia es un árbol de flores color morado pastel. Originario de Sudamérica, desde Colombia hasta Argentina, incluso es el árbol declarado distintivo de Buenos Aires. Dada su belleza única ha sido importado a muchos otros países en los que se ha vuelto emblemático, como por ejemplo, en la Ciudad de México. ",,Zona 9A,9,57,63,39,94
17/6/2023 14:16:44,Azalea,Rhododendron indicum,Asia Oriental,"Arbusto, Floral",Media,Media,,2,1.3,Templado mediterráneo,Mucho,Mucho,Mucho,Mucho,Medio,Medio,Perenne (no bota hojas),Primavera,Invierno,Otoño,"Perteneciente a la familia de las Ericáceas, conocidas por su floración abundante, las azaleas, de nombre botánico Rhododendron indicum o simsii, son un pequeño arbusto de origen oriental que, debido a sus más múltiples hibridaciones a lo largo de la historia, ha logrado adaptarse sin dificultad a todo tipo de climas.",,Zona 7A,72,14,21,15,42
17/6/2023 15:12:02,Rododendro,Rhododendron,Sudeste asiático,"Arbusto, Floral",Media,Media,,1.5,1.5,Templado húmedo,Mucho,Mucho,Mucho,Mucho,Medio,Poco,Perenne (no bota hojas),Otoño,Primavera,No aplica,"El rododendro es un arbusto de hoja perenne que puede llegar a alcanzar hasta tres metros de altura, por lo que se emplea mucho para salvaguardar el interior de jardines o piscinas de miradas indiscretas. No obstante, hay variedades mucho más pequeñas, que apenas alcanzan 50 centímetros.",,Zona 4A,49,16,20,12,28
17/6/2023 15:12:30,Limonero,Citrus Limon,Asia Oriental,"Árbol, Frutal, Floral",Media,Mucha,,3,3,Templado subhúmedo,Medio,Poco,Poco,Poco,Medio,Medio,Perenne (no bota hojas),Otoño,Primavera,Invierno,"De origen asiático, el limonero (Citrus Limon) es un frutal perenne de la familia de las rutáceas. Sus grandes y ovaladas hojas de color verde brillante son, al igual que sus flores, muy aromáticas, con una característica espina en la base.",,Zona 9A,92,77,86,64,61
17/6/2023 15:15:45,Maqui,Aristotelia chilensis,América del Sur,"Árbol, Frutal",Media,Mucha,,3,4,Templado subhúmedo,Medio,Medio,Medio,Mucho,Medio,Poco,Perenne (no bota hojas),Primavera,Primavera,No aplica,"El Maqui (Aristotelia chilensis ) es un árbol de tamaño mediano (4 a 5 metros de altura), que crece en terrenos especialmente húmedos y considerado abundante en su zona de distribución. Florece en primavera y su fruto está maduro en verano.",,Zona 7A,99,69,59,4,60
17/6/2023 15:20:40,Caqui,Diospyros kaki,Asia Oriental,"Árbol, Frutal",Media,Media,,5,12,Templado mediterráneo,Poco,Poco,Poco,Medio,Medio,Medio,Caduco (bota hojas),Primavera,Otoño,Invierno,"El caqui es un frutal proveniente de China, junto con el naranjo y el mandarino, aunque también se lo puede encontrar en otros países de Asia como Corea del Sur, Japón, Birmania y Nepal. Su nombre científico es Diospyros kaki. Un poco difícil de nombrar, pero popularmente se lo conoce como caqui, palosanto, lodoñero, caquilero.",,Zona 7A,75,90,73,19,64
17/6/2023 15:28:29,Cardo,Cynara cardunculus,América del Sur,"Arbusto, Floral",Mucha,Poca,,0.5,1.2,Templado mediterráneo,Mucho,Medio,Medio,Mucho,Poco,Poco,Perenne (no bota hojas),Primavera,Verano,No aplica,"El cardo (Cynara cardunculus), también conocido como cardo comestible, es una de las hortalizas antiguas más bellas e impresionantes, que también se utiliza como planta ornamental. Las flores, que se conservan al secarlas, son un elemento muy común en los arreglos florales secos. Esta planta perenne impresiona por su tamaño, por las llamativas hojas grandes y a partir del segundo año, por sus numerosas y ramificadas flores de alcachofa de color azul-violeta.",,Zona 7A,8,53,47,6,79
17/6/2023 15:31:44,Ciprés,Cupressus sempervirens,Asia Occidental (Medio Oriente),Árbol,Mucha,Poca,,3,25,Templado subhúmedo,Poco,Poco,Poco,Medio,Medio,Poco,Perenne (no bota hojas),Verano,Primavera,Invierno,"El Cupressus sempervirens es un árbol perenne que puede vivir 1000 años. Destaca por su copa estrecha, sus hojas verdes y sus flores masculinas y femeninas.",,Zona 6B,17,96,87,33,49
17/6/2023 15:33:29,Rhus,Searsia crenata,África meridional,"Arbusto, Frutal",Mucha,Media,,0.5,1,Templado mediterráneo,Medio,Poco,Poco,Mucho,Poco,Medio,Perenne (no bota hojas),Primavera,Verano,Invierno,"Arbusto originario de Sudafrica, de la familia de las anacardiáceas. Planta de fácil cultivo, goza con pleno sol y es semi resistente al frío. Es una esplendida planta para jardines costeros puede ser podada para cerco, es buen cortaviento, se da bien en macetas. Crece hasta 2 mts. Puede ser formada como árbol.",,Zona 7A,34,74,84,8,80
17/6/2023 15:39:41,Lirio,Lilium,América del Norte (Canada y EEUU),"Arbusto, Floral",Mucha,Poca,,0.7,1,Templado húmedo,Mucho,Medio,Medio,Poco,Mucho,Medio,Perenne (no bota hojas),Primavera,Verano,Invierno,"Las azucenas o lirios florecen a partir de primavera, pero es hasta el verano cuando alcanzan su mayor esplendor. La corola presenta 6 lóbulos, más o menos uniformes. La forma de estas flores es similar a la de una trompeta, se caracterizan por tener un aroma fuerte y agradable que incrementa durante la noche.",,Zona 6A,21,51,54,84,5
17/6/2023 15:41:07,Gladiolo,Gladiolus communis,Europa del Sur,"Arbusto, Floral",Mucha,Media,,0.2,1,Templado mediterráneo,Mucho,Mucho,Mucho,Mucho,Medio,Medio,Perenne (no bota hojas),Primavera,Primavera,Invierno,"El gladiolo es una hierba perenne y bulbosa de tallo erecto que alcanza aproximadamente 1 m de altura. Las hojas son escasas, basales, lineares ó planas con los nervios paralelos algunos de ellos prominentes. La flor tiene los pétalos y sépalos con una consistencia, color y forma semejante, se les denominan tépalos.",,Zona 7A,73,41,36,7,31
17/6/2023 15:45:47,Geranio,Geranium,Europa del Sur,"Cubresuelo, Floral",Mucha,Media,,0.2,0.3,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Mucho,Poco,Perenne (no bota hojas),Primavera,Verano,Otoño,"El geranio es uno de los nombres de plantas más populares. Resiste muy bien a la sequía y al calor, y además, sus flores se encargan de decorar y alegrar los jardines y balcones de medio país. Además de cultivarse por su gran belleza, los geranios cuentan con un aroma muy especial. Son fáciles de mantener (apto para principiantes en el cuidado de plantas), y soporta muy bien casi todas las plagas y enfermedades.",,Zona 7A,27,15,14,46,12
17/6/2023 15:46:23,Ajo ornamental,Allium aflatunense,Asia Oriental,"Arbusto, Floral",Mucha,Poca,,0.08,0.75,Templado húmedo,Mucho,Mucho,Mucho,Poco,Mucho,Medio,Perenne (no bota hojas),Verano,Verano,Otoño,"Se trata de una planta muy vistosa, ya que alcanza una altura media de entre medio y un metro, con unas inflorescencias en forma de globo de un diámetro aproximado de 8 centímetros. Sus hojas, acintadas, tienen un aroma intenso y suelen marchitarse mientras el ajo ornamental aún está en flor.",,Zona 10A,16,19,30,94,17
17/6/2023 15:52:26,Carraspique,Iberis sempervirens,Europa del Sur,"Cubresuelo, Floral",Mucha,Poca,,0.2,0.2,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"El carraspique se utiliza en jardines de roca, bordes y cultivado en maceta, donde alegra el lugar con su prolífica floración. Esto le ha valido para ganar el premio al Mérito del Jardín de la Real Sociedad de Horticultura. Esta especie es muy resistente a las plagas. Se usa como delimitadora de caminos.",,Zona 7A,14,29,3,45,30
17/6/2023 15:56:34,Amapola de California,Eschscholzia californica,América del Norte (Canada y EEUU),"Cubresuelo, Floral",Mucha,Poca,,0.1,0.3,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,No aplica,"A pleno sol, las corolas anaranjadas y amarillas de la amapola de California crean un efecto incandescente. Pariente de la amapola silvestre, esta papaverácea adoradora del calor y adaptada a la sequía y los suelos pobres, florece sin desmayo desde marzo hasta que empieza el frío en el otoño. Es una vivaz de vida corta en los lugares libres de heladas (zona 10), que se suele tratar por lo general como planta anual y descartar tras la floración. Desarrolla matas bajas redondeadas de unos 30 a 50 centímetros de altura y diámetro. No precisa mantenimiento.",,Zona 6A,15,17,22,48,44
17/6/2023 16:00:31,Nemofila,Nemophila maculata,América del Norte (Canada y EEUU),"Cubresuelo, Floral",Media,Media,,0.1,0.2,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Mucho,Poco,Perenne (no bota hojas),Primavera,Verano,Invierno,"La Nemophila maculata es una planta anual de la familia de las Boragináceas, de flores atractivas y de bajo mantenimiento. Aunque es originaria de California, puede cultivarse en prácticamente cualquier lugar con climas similares. La Nemophila maculata es apreciada tanto por su follaje como por sus flores. ",,Zona 8A,55,28,15,31,11
17/6/2023 16:07:14,Neguilla,Agrostemma githago,África meridional,"Arbusto, Cubresuelo, Floral",Media,Media,,0.2,0.5,Templado mediterráneo,Mucho,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Primavera,Verano,Invierno,"Planta anual que puede alcanzar una altura de 1 m, con tallos erectos y rígidos cubiertos de un fino vello grisáceo. Hojas de unos 45 a 145 mm de largo, de color verde pálido, lineales, en pares opuestos y fusionadas en su base, se mantienen erectas prácticamente pegadas al tallo. De cada uno de los ápices de sus poco ramificados tallos surge una Flor morada o rosa oscuro, de 4-5 cm de diámetro y de largo pecíolo.",,Zona 7A,50,30,23,41,43
17/6/2023 16:16:57,Ruda cabruna,Galega orientalis,Europa Oriental,"Arbusto, Floral",Media,Media,,0.3,1.2,Templado subhúmedo,Mucho,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Primavera,Verano,Invierno,"Esta especie es una hierba perenne con un sistema de raíz y rizoma. Produce tallos de hasta 2 metros de altura que se ramifican cerca del medio. Las hojas son pinnadas. La inflorescencia soporta hasta 70 flores de color lila, y algunos cultivares pueden producir más. La vaina de la fruta mide hasta 4 centímetros de largo y contiene hasta 8 semillas cada una de unos pocos milímetros de longitud.",,Zona 7A,51,35,35,34,46
17/6/2023 16:22:44,Pino negro,Pinus mugo,Europa Occidental,Arbusto,Mucha,Media,,0.6,1,Templado subhúmedo,Poco,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,No aplica,No aplica,"Esta pequeña conífera oriunda de las montañas de Europa Central y los Balcanes se presta a usos muy diversos en jardinería: gracias a sus numerosas variedades se puede utilizar en setos de baja altura y bajo mantenimiento, rocallas, jardines alpinos, tiestos, bonsáis, e incluso para impedir la erosión del suelo. El pino de montaña o pino negro es, además, extremadamente rústico: soporta el frío intenso (-45º, zonas 2-7), y tiene una tolerancia media, y en algunas variedades muy alta, a la sequía y la contaminación ambiental.",,Zona 2A,87,82,100,82,68
18/6/2023 12:12:18,Anémona de bosque,Anemone nemorosa,Europa Oriental,"Cubresuelo, Floral",Poca,Media,,0.1,0.2,Templado subhúmedo,Medio,Mucho,Mucho,Medio,Medio,Poco,Perenne (no bota hojas),Primavera,Primavera,No aplica,"La Anemone nemorosa o Anemonoides nemorosa es una planta que florece a inicio de la primavera normalmente en el sotobosque. Pertenece al género Anemone dentro de la familia Ranunculaceae. Entre sus nombres más comunes, anémona de bosque, flor del viento, olor de zorro y botón de Inglaterra. Se usa como cubresuelo que puede cubrir grandes extensiones.",,Zona 6A,35,58,10,50,47
18/6/2023 12:18:12,Saxífraga,Saxifraga spathularis,Europa del Norte,"Cubresuelo, Floral",Poca,Media,,0.2,0.2,Templado subhúmedo,Medio,Medio,Medio,Poco,Medio,Poco,Perenne (no bota hojas),Primavera,Verano,No aplica,"Planta vivaz de 10 a 30 cm de altura, con abundantes hojas amontonadas en una roseta radical, agudamente dentadas hasta casi la base del limbo, borde con margen cartilaginoso muy fino y atenuadas en un pecíolo tan largo como el limbo, aplastado y con pilosidad dispersa por la parte inferior. Envés a menudo rojizo. Tallos floríferos sin hojas, ramificados superiormente, con pelos pegajosos y un tanto rojizos. Flores pequeñas en racimos flojos, con pétalos blancos salpicados de puntos rojos y un par de manchas amarillas en la base. Sépalos completamente vueltos hacia abajo. Anteras y ovarios rosados. Florece a final de primavera y en verano.",,Zona 6A,28,62,45,67,45
18/6/2023 12:23:40,Arcángel amarillo,Lamium gaelobdolon,Europa Occidental,"Cubresuelo, Floral",Poca,Mucha,,0.2,0.3,Templado subhúmedo,Poco,Medio,Medio,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,Verano,No aplica,"Lamium galeobdolon,​ comúnmente conocido como ortiga muerta amarilla,​ arcángel amarillo, planta de artillería, o planta de aluminio, es una planta con una flor silvestre muy extendida en Europa, y se ha introducido en otros lugares como planta de jardín. PSe desarrolla en forma de mata, con hojas grisáceas oscuras y bandas plateadas, es muy útil en sombra total como cubresuelos.",,Zona 6A,94,78,55,95,71
18/6/2023 14:59:51,Hierba de San Gerardo,Aegopodium podagraria,Europa Oriental,Cubresuelo,Poca,Media,,0.2,0.1,Templado subhúmedo,Poco,Poco,Poco,Poco,Poco,Poco,Perenne (no bota hojas),Primavera,No aplica,Invierno,"El pie de cabra, también llamado hierba de San Gerardo, que muchos consideran un hierbajo rebelde, es una planta de la familia de las apiáceas, con hojas verdes cuyo sabor en los meses de marzo y abril recuerda a la zanahoria y al apio, tiene variados usos: Las hojas sirven para sazonar las verduras, sopas y salsas, pero harmoniza también como verdura por sí misma muy bien con patatas y, recién picadas, son perfectas sobre pan con mantequilla. Los tallos jóvenes pueden prepararse también como verdura, los brotes (de junio a agosto) son una decoración comestible y hermosa. Además, sus frutos ovalados similares al comino le dan a las sopas y pucheros un toque especiado.",,Zona 6A,26,95,88,69,77
18/6/2023 15:06:53,Verónica,Veronica peduncularis,Europa Oriental,"Cubresuelo, Floral",Media,Media,,0.2,0.1,Templado subhúmedo,Mucho,Mucho,Mucho,Medio,Medio,Medio,Perenne (no bota hojas),Otoño,Primavera,Invierno,"Planta perenne de crecimiento rápido, tallos delgados y resistentes y diminutas hojas perennes de color bronce púrpura al nacer. Las flores nacen en primavera y, a menudo, resurgen algún tiempo después. Especie cobertora ideal para lugares soleados.",,Zona 6A,69,18,24,35,32
